분류,지점명,채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),유해남조류 우점종 및 세포수(속별),유해남조류 우점종 및 세포수(속별).1,유해남조류 우점종 및 세포수(속별).2,유해남조류 우점종 및 세포수(속별).3,냄새물질 (ng/L),냄새물질 (ng/L).1,조류독소(㎍/L),조류독소(㎍/L).1,조류독소(㎍/L).2,조류독소(㎍/L).3,조류독소(㎍/L).4,조류독소(㎍/L).5
호소,대청호,문의,2015-01-05,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-01-05,,,,,,,48,0,0,0,48,,,,,,,,
호소,대청호,추동,2015-01-05,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2015-01-12,,,,,,,28,0,0,0,28,,,,,,,,
호소,대청호,문의,2015-01-12,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-01-12,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-01-19,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,문의,2015-01-19,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2015-01-19,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-01-26,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2015-01-26,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,문의,2015-01-26,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-02-02,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,문의,2015-02-02,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2015-02-02,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,문의,2015-02-09,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2015-02-09,,,,,,,16,0,0,0,16,,,,,,,,
호소,대청호,회남,2015-02-09,,,,,,,68,0,0,0,68,,,,,,,,
호소,대청호,문의,2015-02-16,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2015-02-16,,,,,,,52,0,0,0,52,,,,,,,,
호소,대청호,회남,2015-02-16,,,,,,,56,0,56,0,0,,,,,,,,
호소,대청호,추동,2015-02-23,,,,,,,132,0,0,0,132,,,,,,,,
호소,대청호,문의,2015-02-23,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-02-23,,,,,,,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2015-03-02,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-03-02,,,,,,,48,0,0,0,48,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-03-02,,,,,,,100,0,0,0,100,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-03-09,,,,,,,158,0,0,0,158,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-03-09,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-03-09,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-03-16,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-03-16,,,,,,,94,0,0,0,94,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-03-16,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-03-23,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-03-23,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-03-23,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-03-30,,,,,,,14,0,0,0,14,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-03-30,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-03-30,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-04-06,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-04-06,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-04-06,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-04-13,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-04-13,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-04-13,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-04-20,,,,,,,18,0,0,0,18,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-04-20,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-04-20,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-04-27,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,,,,,,
호소,대청호,추동,2015-04-27,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,,,,,,
호소,대청호,회남,2015-04-27,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,,,,,,
호소,대청호,문의,2015-05-04,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-05-04,,,,,,,184,18,0,0,166,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-05-04,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-05-11,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-05-11,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-05-11,,,,,,,22,0,0,0,22,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-05-18,,,,,,,44,0,44,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-05-18,,,,,,,28,0,0,0,28,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-05-18,,,,,,,540,280,86,0,174,10,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-05-26,,,,,,,486,486,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-05-26,,,,,,,16,0,0,0,16,8,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-05-26,,,,,,,28,0,0,0,28,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-06-01,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-06-01,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-06-01,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-06-08,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-06-08,,,,,,,120,86,0,0,34,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-06-08,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-06-15,,,,,,,540,540,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-06-15,,,,,,,656,620,36,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-06-15,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-06-22,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-06-22,,,,,,,644,420,224,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-06-22,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-06-29,,,,,,,2232,2064,0,36,132,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-06-29,,,,,,,142,74,0,0,68,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-06-29,,,,,,,78,0,78,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-07-06,,,,,,,548,156,0,0,392,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-07-06,,,,,,,292,220,8,0,64,6,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-07-06,,,,,,,1502,1262,0,0,240,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-07-13,,,,,,,260,220,0,0,40,18,11,정량한계미만,,,,,
호소,대청호,문의,2015-07-13,,,,,,,140,0,126,0,14,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-07-13,,,,,,,422,240,0,0,182,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-07-20,,,,,,,1406,934,346,0,126,12,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-07-20,,,,,,,532,400,18,0,114,6,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-07-20,,,,,,,366,0,98,0,268,11,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-07-27,,,,,,,64,64,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-07-27,,,,,,,68,0,0,0,68,9,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-07-27,,,,,,,1044,836,164,0,44,18,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-08-03,,,,,,,914,720,0,0,194,19,40,정량한계미만,,,,,
호소,대청호,문의,2015-08-03,,,,,,,502,270,146,0,86,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-08-03,,,,,,,70,42,0,0,28,11,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-08-10,,,,,,,28,0,28,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-08-10,,,,,,,58,0,32,0,26,14,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-08-10,,,,,,,1020,884,0,14,122,12,48,정량한계미만,,,,,
호소,대청호,문의,2015-08-17,,,,,,,486,60,0,0,426,40,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-08-17,,,,,,,84,0,0,0,84,10,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-08-17,,,,,,,336,318,0,18,0,정량한계미만,29,정량한계미만,,,,,
호소,대청호,문의,2015-08-24,,,,,,,374,220,0,0,154,26,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-08-24,,,,,,,922,120,0,610,192,10,24,정량한계미만,,,,,
호소,대청호,추동,2015-08-24,,,,,,,504,140,0,48,316,77,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-08-31,,,,,,,532,0,268,0,264,11,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-08-31,,,,,,,478,264,46,26,142,12,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-08-31,,,,,,,1702,1280,42,220,160,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-09-07,,,,,,,288,0,24,0,264,15,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-09-07,,,,,,,2044,0,56,1446,542,4,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-09-07,,,,,,,814,0,266,212,336,12,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-09-14,,,,,,,1008,356,338,0,314,41,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-09-14,,,,,,,1540,780,274,0,486,39,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-09-14,,,,,,,600,0,172,86,342,16,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-09-21,,,,,,,1566,880,74,152,460,12,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-09-21,,,,,,,2294,1020,116,882,276,24,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-09-21,,,,,,,990,520,36,24,410,5,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-09-30,,,,,,,942,0,106,0,836,26,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-09-30,,,,,,,2014,320,36,350,1308,14,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-09-30,,,,,,,1770,720,62,44,944,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-10-05,,,,,,,676,0,138,102,436,16,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-10-05,,,,,,,788,324,64,44,356,정량한계미만,9,정량한계미만,,,,,
호소,대청호,추동,2015-10-05,,,,,,,1074,516,0,22,536,21,10,정량한계미만,,,,,
호소,대청호,문의,2015-10-12,,,,,,,726,320,100,0,306,22,11,정량한계미만,,,,,
호소,대청호,회남,2015-10-12,,,,,,,886,0,58,48,780,5,31,정량한계미만,,,,,
호소,대청호,추동,2015-10-12,,,,,,,1592,0,320,372,900,14,19,정량한계미만,,,,,
호소,대청호,추동,2015-10-19,,,,,,,2048,80,484,426,1058,39,36,정량한계미만,,,,,
호소,대청호,문의,2015-10-19,,,,,,,732,0,236,0,496,16,20,정량한계미만,,,,,
호소,대청호,회남,2015-10-19,,,,,,,2346,660,354,192,1140,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-10-26,,,,,,,2456,660,630,16,1150,16,47,정량한계미만,,,,,
호소,대청호,추동,2015-10-26,,,,,,,2000,80,122,68,1730,26,43,정량한계미만,,,,,
호소,대청호,문의,2015-10-26,,,,,,,1358,720,196,108,334,19,30,정량한계미만,,,,,
호소,대청호,추동,2015-11-02,,,,,,,1146,70,166,12,898,24,41,정량한계미만,,,,,
호소,대청호,문의,2015-11-02,,,,,,,410,120,96,0,194,17,48,정량한계미만,,,,,
호소,대청호,회남,2015-11-02,,,,,,,2136,388,492,0,1256,19,48,정량한계미만,,,,,
호소,대청호,회남,2015-11-09,,,,,,,1474,0,200,48,1226,17,35,정량한계미만,,,,,
호소,대청호,추동,2015-11-09,,,,,,,1306,60,286,0,960,23,23,정량한계미만,,,,,
호소,대청호,문의,2015-11-09,,,,,,,212,0,90,0,122,25,38,정량한계미만,,,,,
호소,대청호,추동,2015-11-16,,,,,,,1870,0,42,0,1828,45,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-11-16,,,,,,,1606,120,508,0,978,28,28,정량한계미만,,,,,
호소,대청호,문의,2015-11-16,,,,,,,332,0,64,0,268,46,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-11-25,,,,,,,374,0,118,0,256,26,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-11-25,,,,,,,1762,220,62,0,1480,24,12,정량한계미만,,,,,
호소,대청호,회남,2015-11-25,,,,,,,1078,0,272,0,806,28,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-11-30,,,,,,,308,0,0,0,308,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-11-30,,,,,,,1052,0,110,0,942,18,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-11-30,,,,,,,1286,0,62,0,1224,10,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-12-07,,,,,,,58,0,0,0,58,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-12-07,,,,,,,782,0,42,0,740,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-12-07,,,,,,,728,60,66,0,602,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-12-14,,,,,,,250,0,0,0,250,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-12-14,,,,,,,222,0,0,0,222,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-12-14,,,,,,,242,0,0,0,242,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-12-21,,,,,,,448,0,0,0,448,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-12-21,,,,,,,304,0,0,0,304,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-12-21,,,,,,,176,0,0,0,176,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2015-12-28,,,,,,,388,0,0,0,388,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2015-12-28,,,,,,,406,0,22,0,384,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2015-12-28,,,,,,,368,0,0,0,368,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-01-05,,,,,,,100,0,0,0,100,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-01-05,,,,,,,108,0,0,0,108,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-01-05,,,,,,,176,0,0,0,176,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-01-11,,,,,,,134,0,0,0,134,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-01-11,,,,,,,42,0,0,0,42,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-01-11,,,,,,,186,0,0,0,186,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-01-18,,,,,,,32,0,0,0,32,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-01-18,,,,,,,26,0,0,0,26,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-01-18,,,,,,,84,0,0,0,84,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-01-25,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-01-25,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-01-25,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-02-01,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-02-01,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-02-01,,,,,,,142,0,0,0,142,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-02-11,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-02-11,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-02-11,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-02-15,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-02-15,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-02-15,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-02-22,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-02-22,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-02-22,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-03-02,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-03-02,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-03-02,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-03-07,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-03-07,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-03-07,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-03-14,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-03-14,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-03-14,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-03-21,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-03-21,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-03-21,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-03-28,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-03-28,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-03-28,,,,,,,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-04-04,8.8,8.2,13.3,2.9,1.7,4.5,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-04-04,7.9,8,12.5,2.5,1.2,5.2,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-04-04,8.7,8.2,12.8,2.2,2,5.8,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-04-11,8.6,8,11,2.5,1.3,6.2,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-04-11,10,8.2,11.5,2.3,2.3,4,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-04-11,9.1,7.7,12.1,3.2,1.1,4.4,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-04-18,10.2,7.8,11.2,1.8,3.1,5,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-04-18,8.9,7.4,11.4,2.8,1.5,5.3,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-04-18,12.1,8.2,11.3,2,2.5,5.1,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-04-25,14.7,8.3,11.4,2.7,1.8,4.5,0,0,0,0,0,2,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-04-25,12.1,7.9,11.3,2.7,2,4.2,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-04-25,10.1,7.3,10.7,2.8,1.3,4.3,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-05-02,13.9,8,11.8,3,1.8,5.8,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-05-02,14.4,8.2,11.5,2.2,1.7,6.9,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-05-02,11.1,7.8,11.8,2,1.7,6,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-05-09,16.1,8.1,12.2,2.4,1.5,8.8,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-05-09,14.5,7.8,11.2,3.6,1.1,5.9,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-05-09,11.4,7.8,11.3,1.5,1.6,6.8,38,0,0,0,38,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-05-16,15.2,7.8,10.4,4.4,1.3,3.6,12,0,0,0,12,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-05-16,12.2,7.9,10.3,2.5,1.4,6.4,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-05-16,17,8.4,11.4,4.3,1.4,7.4,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-05-23,19.9,8.2,11.9,4.9,1.2,3.3,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-05-23,16.9,7.8,9.9,4,1.3,3.3,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-05-23,13.6,7.9,10.2,2.5,1.4,4.4,12,0,0,0,12,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-05-30,17.9,7.7,8.6,3.9,1.7,7.3,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-05-30,14.2,7.7,8.5,4.2,1,3.8,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-05-30,20.5,8.1,10.6,5.1,2,3.2,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-06-07,21.9,8.2,9.6,4.3,2,6.7,0,0,0,0,0,,,,,,,,
호소,대청호,회남,2016-06-07,15.5,7.7,6.8,4.9,1.1,2.5,260,0,182,0,78,,,,,,,,
호소,대청호,추동,2016-06-07,20.1,8,8.2,2.7,2.7,7.8,0,0,0,0,0,,,,,,,,
호소,대청호,추동,2016-06-13,22.1,8.2,9.7,2.7,2.5,7.3,0,0,0,0,0,4,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-06-13,16.6,7.4,6.2,4.8,1.2,2.3,442,340,70,0,32,3,6,정량한계미만,,,,,
호소,대청호,문의,2016-06-13,23.2,8.3,10.1,4.4,1.9,4.7,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-06-20,23.1,8.3,8.6,2.3,3,8,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-06-20,16.7,7.5,5.4,4.3,1.7,2.8,90,0,68,0,22,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-06-20,24.6,8.6,10.4,3.7,1.5,6.6,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-06-27,23.3,8.4,8.2,2.1,3.1,12.2,166,0,166,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,회남,2016-06-27,16.6,7.5,5,6.7,1.3,3.2,264,26,174,0,64,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,문의,2016-06-27,25.1,8.6,10,3.7,2.1,7.5,0,0,0,0,0,정량한계미만,정량한계미만,정량한계미만,,,,,
호소,대청호,추동,2016-07-04,23.3,8.3,6.3,2.2,8.5,13.1,596,540,30,0,26,정량한계미만,정량한계미만,정량한계미만,,,,,
